DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
30/03/2025,Manhã,Let's Run Girl 2025 - Barueri,,,,Barueri-SP,Corrida de rua, Corrida feminina,
30/03/2025,Manhã,Sesc Paulista - Treino de corrida gratuito - 30 de março de 2025,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/sesc-paulista-treino-de-corrida-gratuito-30-de-marco-de-2025/
30/03/2025,Manhã,Corrida Sírio-Libanês 2025 - São Paulo,3/5/10,SIM,NÃO,Parque do Povo,Corrida de Rua,a partir de R$ 159,90,https://www.ticketsports.com.br/e/1-corrida-sirio-libanes-70547?origem=esportividade&campanha=esportividade
30/03/2025,Manhã,1° Center Norte de 2025 - Santander Track&Field Run Series,N/I,SIM,SIM,Shopping Center Norte,Corrida de Rua,a partir de R$ 169,90,http://www.tfsports.com.br/run-series/centernortei-25/
30/03/2025,Manhã,Corrida e Caminhada pela IncluSão 2025 - Instituto Olga Kos,6/10,SIM,SIM,Obelisco: Ibirapuera,Corrida de Rua,a partir de R$ 75,00,https://www.ticketsports.com.br/e/corrida-e-caminhada-pela-inclusao-olga-kos-ano-xi-70600?origem=esportividade&campanha=esportividade
04/04/2025,,Desafio Noturno Maratona de São Paulo 2025,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/desafio-noturno-maratona-de-sao-paulo-2025/
05/04/2025,,Maratoninha de São Paulo 2025 - São Paulo,,,,São Paulo - Zona Sul,Corrida infantil,,https://esportividade.com.br/evento/maratoninha-de-sao-paulo-2024-sao-paulo/
06/04/2025,,Circuito Cidades Paulistas 2025 - etapa Valinhos,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-cidades-paulistas-2025-etapa-valinhos/
06/04/2025,Manhã,Jundiaí 21,,,,,Interior/litoral-SP,Corrida de rua,
06/04/2025,Manhã,Maratona Internacional de São Paulo 2025,,,,São Paulo - Zona Oeste, São Paulo - Zona Sul,Corrida de rua,
06/04/2025,Manhã,Parque do Carmo - Circuito Popular de corrida de São Paulo 2025,,,,São Paulo - Zona Leste,Corrida de rua, Corrida de trilha, Corrida infantil
